symbol,baseAsset,quoteAsset,status
VIAETH,VIA,ETH,BREAK
VIABNB,VIA,BNB,BREAK
BLZBTC,BLZ,BTC,TRADING
BLZETH,BLZ,ETH,TRADING
BLZBNB,BLZ,BNB,BREAK
AEBTC,AE,BTC,BREAK
AEETH,AE,ETH,BREAK
AEBNB,AE,BNB,BREAK
RPXBTC,RPX,BTC,BREAK
RPXETH,RPX,ETH,BREAK
RPXBNB,RPX,BNB,BREAK
NCASHBTC,NCASH,BTC,BREAK
NCASHETH,NCASH,ETH,BREAK
NCASHBNB,NCASH,BNB,BREAK
POABTC,POA,BTC,BREAK
POAETH,POA,ETH,BREAK
POABNB,POA,BNB,BREAK
ZILBTC,ZIL,BTC,TRADING
ZILETH,ZIL,ETH,TRADING
ZILBNB,ZIL,BNB,TRADING
ONTBTC,ONT,BTC,TRADING
ONTETH,ONT,ETH,TRADING
ONTBNB,ONT,BNB,BREAK
STORMBTC,STORM,BTC,BREAK
STORMETH,STORM,ETH,BREAK
STORMBNB,STORM,BNB,BREAK
QTUMBNB,QTUM,BNB,BREAK
QTUMUSDT,QTUM,USDT,TRADING
XEMBTC,XEM,BTC,BREAK
XEMETH,XEM,ETH,BREAK
XEMBNB,XEM,BNB,BREAK
WANBTC,WAN,BTC,TRADING
WANETH,WAN,ETH,TRADING
WANBNB,WAN,BNB,BREAK
WPRBTC,WPR,BTC,BREAK
WPRETH,WPR,ETH,BREAK
QLCBTC,QLC,BTC,TRADING
QLCETH,QLC,ETH,BREAK
SYSBTC,SYS,BTC,TRADING
SYSETH,SYS,ETH,BREAK
SYSBNB,SYS,BNB,BREAK
QLCBNB,QLC,BNB,BREAK
GRSBTC,GRS,BTC,BREAK
GRSETH,GRS,ETH,BREAK
ADAUSDT,ADA,USDT,TRADING
ADABNB,ADA,BNB,TRADING
CLOAKBTC,CLOAK,BTC,BREAK
CLOAKETH,CLOAK,ETH,BREAK
GNTBTC,GNT,BTC,BREAK
GNTETH,GNT,ETH,BREAK
GNTBNB,GNT,BNB,BREAK
LOOMBTC,LOOM,BTC,TRADING
LOOMETH,LOOM,ETH,BREAK
LOOMBNB,LOOM,BNB,BREAK
XRPUSDT,XRP,USDT,TRADING
BCNBTC,BCN,BTC,BREAK
BCNETH,BCN,ETH,BREAK
BCNBNB,BCN,BNB,BREAK
REPBTC,REP,BTC,BREAK
REPBNB,REP,BNB,BREAK
BTCTUSD,BTC,TUSD,BREAK
TUSDBTC,TUSD,BTC,BREAK
ETHTUSD,ETH,TUSD,BREAK
TUSDETH,TUSD,ETH,BREAK
TUSDBNB,TUSD,BNB,BREAK
ZENBTC,ZEN,BTC,TRADING
ZENETH,ZEN,ETH,TRADING
ZENBNB,ZEN,BNB,TRADING
SKYBTC,SKY,BTC,BREAK
SKYETH,SKY,ETH,BREAK
SKYBNB,SKY,BNB,BREAK
EOSUSDT,EOS,USDT,TRADING
EOSBNB,EOS,BNB,TRADING
CVCBTC,CVC,BTC,BREAK
CVCETH,CVC,ETH,BREAK
CVCBNB,CVC,BNB,BREAK
THETABTC,THETA,BTC,TRADING
THETAETH,THETA,ETH,TRADING
THETABNB,THETA,BNB,TRADING
XRPBNB,XRP,BNB,TRADING
TUSDUSDT,TUSD,USDT,BREAK
IOTAUSDT,IOTA,USDT,TRADING
XLMUSDT,XLM,USDT,TRADING
IOTXBTC,IOTX,BTC,TRADING
IOTXETH,IOTX,ETH,TRADING
QKCBTC,QKC,BTC,TRADING
QKCETH,QKC,ETH,TRADING
AGIBTC,AGI,BTC,BREAK
AGIETH,AGI,ETH,BREAK
AGIBNB,AGI,BNB,BREAK
NXSBTC,NXS,BTC,BREAK
NXSETH,NXS,ETH,BREAK
NXSBNB,NXS,BNB,BREAK
ENJBNB,ENJ,BNB,TRADING
DATABTC,DATA,BTC,TRADING
DATAETH,DATA,ETH,BREAK
ONTUSDT,ONT,USDT,TRADING
TRXBNB,TRX,BNB,TRADING
TRXUSDT,TRX,USDT,TRADING
ETCUSDT,ETC,USDT,TRADING
ETCBNB,ETC,BNB,TRADING
ICXUSDT,ICX,USDT,TRADING
SCBTC,SC,BTC,BREAK
SCETH,SC,ETH,TRADING
NPXSBTC,NPXS,BTC,BREAK
NPXSETH,NPXS,ETH,BREAK
VENUSDT,VEN,USDT,BREAK
KEYBTC,KEY,BTC,BREAK
KEYETH,KEY,ETH,TRADING
NASBTC,NAS,BTC,BREAK
NASETH,NAS,ETH,BREAK
NASBNB,NAS,BNB,BREAK
MFTBTC,MFT,BTC,BREAK
MFTETH,MFT,ETH,BREAK
MFTBNB,MFT,BNB,BREAK
DENTBTC,DENT,BTC,BREAK
DENTETH,DENT,ETH,TRADING
ARDRBTC,ARDR,BTC,TRADING
ARDRETH,ARDR,ETH,BREAK
ARDRBNB,ARDR,BNB,BREAK
NULSUSDT,NULS,USDT,TRADING
HOTBTC,HOT,BTC,BREAK
HOTETH,HOT,ETH,TRADING
VETBTC,VET,BTC,TRADING
VETETH,VET,ETH,TRADING
VETUSDT,VET,USDT,TRADING
VETBNB,VET,BNB,TRADING
DOCKBTC,DOCK,BTC,TRADING
DOCKETH,DOCK,ETH,BREAK
POLYBTC,POLY,BTC,BREAK
POLYBNB,POLY,BNB,BREAK
PHXBTC,PHX,BTC,BREAK
PHXETH,PHX,ETH,BREAK
PHXBNB,PHX,BNB,BREAK
HCBTC,HC,BTC,BREAK
HCETH,HC,ETH,BREAK
GOBTC,GO,BTC,BREAK
GOBNB,GO,BNB,BREAK
PAXBTC,PAX,BTC,BREAK
PAXBNB,PAX,BNB,BREAK
PAXUSDT,PAX,USDT,BREAK
PAXETH,PAX,ETH,BREAK
RVNBTC,RVN,BTC,TRADING
DCRBTC,DCR,BTC,TRADING
DCRBNB,DCR,BNB,BREAK
USDCBNB,USDC,BNB,BREAK
MITHBTC,MITH,BTC,BREAK
MITHBNB,MITH,BNB,BREAK
BCHABCBTC,BCHABC,BTC,BREAK
BCHSVBTC,BCHSV,BTC,BREAK
BCHABCUSDT,BCHABC,USDT,BREAK
BCHSVUSDT,BCHSV,USDT,BREAK
BNBPAX,BNB,PAX,BREAK
BTCPAX,BTC,PAX,BREAK
ETHPAX,ETH,PAX,BREAK
XRPPAX,XRP,PAX,BREAK
EOSPAX,EOS,PAX,BREAK
XLMPAX,XLM,PAX,BREAK
RENBTC,REN,BTC,TRADING
RENBNB,REN,BNB,BREAK
BNBTUSD,BNB,TUSD,BREAK
XRPTUSD,XRP,TUSD,BREAK
EOSTUSD,EOS,TUSD,BREAK
XLMTUSD,XLM,TUSD,BREAK
BNBUSDC,BNB,USDC,BREAK
BTCUSDC,BTC,USDC,BREAK
ETHUSDC,ETH,USDC,BREAK
XRPUSDC,XRP,USDC,BREAK
EOSUSDC,EOS,USDC,BREAK
XLMUSDC,XLM,USDC,BREAK
USDCUSDT,USDC,USDT,BREAK
ADATUSD,ADA,TUSD,BREAK
TRXTUSD,TRX,TUSD,BREAK
NEOTUSD,NEO,TUSD,BREAK
TRXXRP,TRX,XRP,TRADING
XZCXRP,XZC,XRP,BREAK
PAXTUSD,PAX,TUSD,BREAK
USDCTUSD,USDC,TUSD,BREAK
USDCPAX,USDC,PAX,BREAK
LINKUSDT,LINK,USDT,TRADING
LINKTUSD,LINK,TUSD,BREAK
LINKPAX,LINK,PAX,BREAK
LINKUSDC,LINK,USDC,BREAK
WAVESUSDT,WAVES,USDT,TRADING
WAVESTUSD,WAVES,TUSD,BREAK
WAVESPAX,WAVES,PAX,BREAK
WAVESUSDC,WAVES,USDC,BREAK
BCHABCTUSD,BCHABC,TUSD,BREAK
BCHABCPAX,BCHABC,PAX,BREAK
BCHABCUSDC,BCHABC,USDC,BREAK
BCHSVTUSD,BCHSV,TUSD,BREAK
BCHSVPAX,BCHSV,PAX,BREAK
BCHSVUSDC,BCHSV,USDC,BREAK
LTCTUSD,LTC,TUSD,BREAK
LTCPAX,LTC,PAX,BREAK
LTCUSDC,LTC,USDC,BREAK
TRXPAX,TRX,PAX,BREAK
TRXUSDC,TRX,USDC,BREAK
BTTBTC,BTT,BTC,BREAK
BTTBNB,BTT,BNB,BREAK
BTTUSDT,BTT,USDT,BREAK
BNBUSDS,BNB,USDS,BREAK
BTCUSDS,BTC,USDS,BREAK
USDSUSDT,USDS,USDT,BREAK
USDSPAX,USDS,PAX,BREAK
USDSTUSD,USDS,TUSD,BREAK
USDSUSDC,USDS,USDC,BREAK
BTTPAX,BTT,PAX,BREAK
BTTTUSD,BTT,TUSD,BREAK
BTTUSDC,BTT,USDC,BREAK
ONGBNB,ONG,BNB,BREAK
ONGBTC,ONG,BTC,TRADING
ONGUSDT,ONG,USDT,TRADING
HOTBNB,HOT,BNB,BREAK
HOTUSDT,HOT,USDT,TRADING
ZILUSDT,ZIL,USDT,TRADING
ZRXBNB,ZRX,BNB,BREAK
ZRXUSDT,ZRX,USDT,TRADING
FETBNB,FET,BNB,TRADING
FETBTC,FET,BTC,TRADING
FETUSDT,FET,USDT,TRADING
BATUSDT,BAT,USDT,TRADING
XMRBNB,XMR,BNB,TRADING
XMRUSDT,XMR,USDT,TRADING
ZECBNB,ZEC,BNB,TRADING
ZECUSDT,ZEC,USDT,TRADING
ZECPAX,ZEC,PAX,BREAK
ZECTUSD,ZEC,TUSD,BREAK
ZECUSDC,ZEC,USDC,BREAK
IOSTUSDT,IOST,USDT,TRADING
CELRBNB,CELR,BNB,TRADING
CELRBTC,CELR,BTC,TRADING
CELRUSDT,CELR,USDT,TRADING
ADAPAX,ADA,PAX,BREAK
ADAUSDC,ADA,USDC,BREAK
NEOPAX,NEO,PAX,BREAK
NEOUSDC,NEO,USDC,BREAK
DASHBNB,DASH,BNB,TRADING
DASHUSDT,DASH,USDT,TRADING
NANOUSDT,NANO,USDT,BREAK
OMGBNB,OMG,BNB,BREAK
OMGUSDT,OMG,USDT,TRADING
THETAUSDT,THETA,USDT,TRADING
ENJUSDT,ENJ,USDT,TRADING
MITHUSDT,MITH,USDT,BREAK
MATICBNB,MATIC,BNB,TRADING
MATICBTC,MATIC,BTC,TRADING
MATICUSDT,MATIC,USDT,TRADING
ATOMBNB,ATOM,BNB,TRADING
ATOMBTC,ATOM,BTC,TRADING
ATOMUSDT,ATOM,USDT,TRADING
ATOMUSDC,ATOM,USDC,BREAK
ATOMPAX,ATOM,PAX,BREAK
ATOMTUSD,ATOM,TUSD,BREAK
ETCUSDC,ETC,USDC,BREAK
ETCPAX,ETC,PAX,BREAK
ETCTUSD,ETC,TUSD,BREAK
BATUSDC,BAT,USDC,BREAK
BATPAX,BAT,PAX,BREAK
BATTUSD,BAT,TUSD,BREAK
PHBBNB,PHB,BNB,BREAK
PHBBTC,PHB,BTC,TRADING
PHBUSDC,PHB,USDC,BREAK
PHBTUSD,PHB,TUSD,BREAK
PHBPAX,PHB,PAX,BREAK
TFUELBNB,TFUEL,BNB,BREAK
TFUELBTC,TFUEL,BTC,TRADING
TFUELUSDT,TFUEL,USDT,TRADING
TFUELUSDC,TFUEL,USDC,BREAK
TFUELTUSD,TFUEL,TUSD,BREAK
TFUELPAX,TFUEL,PAX,BREAK
ONEBNB,ONE,BNB,TRADING
ONEBTC,ONE,BTC,TRADING
ONEUSDT,ONE,USDT,TRADING
ONETUSD,ONE,TUSD,BREAK
ONEPAX,ONE,PAX,BREAK
ONEUSDC,ONE,USDC,BREAK
FTMBNB,FTM,BNB,TRADING
FTMBTC,FTM,BTC,TRADING
FTMUSDT,FTM,USDT,TRADING
FTMTUSD,FTM,TUSD,BREAK
FTMPAX,FTM,PAX,BREAK
FTMUSDC,FTM,USDC,BREAK
BTCBBTC,BTCB,BTC,BREAK
BCPTTUSD,BCPT,TUSD,BREAK
BCPTPAX,BCPT,PAX,BREAK
BCPTUSDC,BCPT,USDC,BREAK
ALGOBNB,ALGO,BNB,TRADING
ALGOBTC,ALGO,BTC,TRADING
ALGOUSDT,ALGO,USDT,TRADING
ALGOTUSD,ALGO,TUSD,BREAK
ALGOPAX,ALGO,PAX,BREAK
ALGOUSDC,ALGO,USDC,BREAK
USDSBUSDT,USDSB,USDT,BREAK
USDSBUSDS,USDSB,USDS,BREAK
GTOUSDT,GTO,USDT,BREAK
GTOPAX,GTO,PAX,BREAK
GTOTUSD,GTO,TUSD,BREAK
GTOUSDC,GTO,USDC,BREAK
ERDBNB,ERD,BNB,BREAK
ERDBTC,ERD,BTC,BREAK
ERDUSDT,ERD,USDT,BREAK
ERDPAX,ERD,PAX,BREAK
ERDUSDC,ERD,USDC,BREAK
DOGEBNB,DOGE,BNB,BREAK
DOGEBTC,DOGE,BTC,TRADING
DOGEUSDT,DOGE,USDT,TRADING
DOGEPAX,DOGE,PAX,BREAK
DOGEUSDC,DOGE,USDC,BREAK
DUSKBNB,DUSK,BNB,BREAK
DUSKBTC,DUSK,BTC,TRADING
DUSKUSDT,DUSK,USDT,TRADING
DUSKUSDC,DUSK,USDC,BREAK
DUSKPAX,DUSK,PAX,BREAK
BGBPUSDC,BGBP,USDC,BREAK
ANKRBNB,ANKR,BNB,TRADING
ANKRBTC,ANKR,BTC,TRADING
ANKRUSDT,ANKR,USDT,TRADING
ANKRTUSD,ANKR,TUSD,BREAK
ANKRPAX,ANKR,PAX,BREAK
ANKRUSDC,ANKR,USDC,BREAK
ONTPAX,ONT,PAX,BREAK
ONTUSDC,ONT,USDC,BREAK
WINBNB,WIN,BNB,TRADING
WINBTC,WIN,BTC,BREAK
WINUSDT,WIN,USDT,TRADING
WINUSDC,WIN,USDC,BREAK
COSBNB,COS,BNB,TRADING
COSBTC,COS,BTC,TRADING
COSUSDT,COS,USDT,TRADING
TUSDBTUSD,TUSDB,TUSD,BREAK
NPXSUSDT,NPXS,USDT,BREAK
NPXSUSDC,NPXS,USDC,BREAK
COCOSBNB,COCOS,BNB,TRADING
COCOSBTC,COCOS,BTC,BREAK
COCOSUSDT,COCOS,USDT,TRADING
MTLUSDT,MTL,USDT,TRADING
TOMOBNB,TOMO,BNB,BREAK
TOMOBTC,TOMO,BTC,TRADING
TOMOUSDT,TOMO,USDT,TRADING
TOMOUSDC,TOMO,USDC,BREAK
PERLBNB,PERL,BNB,BREAK
PERLBTC,PERL,BTC,BREAK
PERLUSDC,PERL,USDC,BREAK
PERLUSDT,PERL,USDT,TRADING
DENTUSDT,DENT,USDT,TRADING
MFTUSDT,MFT,USDT,BREAK
KEYUSDT,KEY,USDT,TRADING
STORMUSDT,STORM,USDT,BREAK
DOCKUSDT,DOCK,USDT,TRADING
WANUSDT,WAN,USDT,TRADING
FUNUSDT,FUN,USDT,TRADING
CVCUSDT,CVC,USDT,BREAK
BTTTRX,BTT,TRX,BREAK
WINTRX,WIN,TRX,TRADING
CHZBNB,CHZ,BNB,TRADING
CHZBTC,CHZ,BTC,TRADING
CHZUSDT,CHZ,USDT,TRADING
BANDBNB,BAND,BNB,BREAK
BANDBTC,BAND,BTC,TRADING
BANDUSDT,BAND,USDT,TRADING
BNBBUSD,BNB,BUSD,TRADING
BTCBUSD,BTC,BUSD,TRADING
BUSDUSDT,BUSD,USDT,TRADING
BEAMBNB,BEAM,BNB,BREAK
BEAMBTC,BEAM,BTC,BREAK
BEAMUSDT,BEAM,USDT,TRADING
XTZBNB,XTZ,BNB,TRADING
XTZBTC,XTZ,BTC,TRADING
XTZUSDT,XTZ,USDT,TRADING
RENUSDT,REN,USDT,TRADING
RVNUSDT,RVN,USDT,TRADING
HCUSDT,HC,USDT,BREAK
HBARBNB,HBAR,BNB,TRADING
HBARBTC,HBAR,BTC,TRADING
HBARUSDT,HBAR,USDT,TRADING
NKNBNB,NKN,BNB,BREAK
NKNBTC,NKN,BTC,TRADING
NKNUSDT,NKN,USDT,TRADING
XRPBUSD,XRP,BUSD,TRADING
ETHBUSD,ETH,BUSD,TRADING
BCHABCBUSD,BCHABC,BUSD,BREAK
LTCBUSD,LTC,BUSD,TRADING
LINKBUSD,LINK,BUSD,TRADING
ETCBUSD,ETC,BUSD,TRADING
STXBNB,STX,BNB,TRADING
STXBTC,STX,BTC,TRADING
STXUSDT,STX,USDT,TRADING
KAVABNB,KAVA,BNB,TRADING
KAVABTC,KAVA,BTC,TRADING
KAVAUSDT,KAVA,USDT,TRADING
BUSDNGN,BUSD,NGN,BREAK
BNBNGN,BNB,NGN,BREAK
BTCNGN,BTC,NGN,BREAK
ARPABNB,ARPA,BNB,TRADING
ARPABTC,ARPA,BTC,TRADING
ARPAUSDT,ARPA,USDT,TRADING
TRXBUSD,TRX,BUSD,TRADING
EOSBUSD,EOS,BUSD,TRADING
IOTXUSDT,IOTX,USDT,TRADING
RLCUSDT,RLC,USDT,TRADING
MCOUSDT,MCO,USDT,BREAK
XLMBUSD,XLM,BUSD,TRADING
ADABUSD,ADA,BUSD,TRADING
CTXCBNB,CTXC,BNB,BREAK
CTXCBTC,CTXC,BTC,TRADING
CTXCUSDT,CTXC,USDT,TRADING
BCHBNB,BCH,BNB,TRADING
BCHBTC,BCH,BTC,TRADING
BCHUSDT,BCH,USDT,TRADING
BCHUSDC,BCH,USDC,BREAK
BCHTUSD,BCH,TUSD,BREAK
BCHPAX,BCH,PAX,BREAK
BCHBUSD,BCH,BUSD,TRADING
BTCRUB,BTC,RUB,TRADING
ETHRUB,ETH,RUB,TRADING
XRPRUB,XRP,RUB,TRADING
BNBRUB,BNB,RUB,TRADING
TROYBNB,TROY,BNB,BREAK
TROYBTC,TROY,BTC,BREAK
TROYUSDT,TROY,USDT,TRADING
BUSDRUB,BUSD,RUB,TRADING
QTUMBUSD,QTUM,BUSD,TRADING
VETBUSD,VET,BUSD,TRADING
VITEBNB,VITE,BNB,BREAK
VITEBTC,VITE,BTC,TRADING
VITEUSDT,VITE,USDT,TRADING
FTTBNB,FTT,BNB,BREAK
FTTBTC,FTT,BTC,BREAK
